"Date","Close","n","USDJPY","USDCHF","NZDUSD","XAUUSD","AUDUSD","GBPUSD","USDSEK","USDCAD","post.y"
2010-06-04,1.19637,3,91.875,1.16235,0.6704,1219.262,0.8221,1.44515,8.01385,1.0626,"Euro debt crisis opens chance for yuan depegging<br>Wealthy Qatar tries to build niche as conflict mediator<br>Analysis - Fringe euro zone faces high bond funding costs"
2010-06-07,1.19213,1,91.365,1.1629,0.65825,1239.574,0.81041,1.44665,8.11495,1.06155,"Analysis - Politics, austerity raise concern over Eastern Europe"
2010-06-08,1.19713,NA,91.445,1.1524,0.66695,1236.125,0.82744,1.4468,8.0564,1.04725,NA
2010-06-09,1.19765,3,91.285,1.1482,0.6667,1232.901,0.8279,1.45275,8.0328,1.04435,"Analysis - London funds yet to be seduced by Swiss appeal<br>Analysis - France and Germany still out of synch on euro<br>Analysis - Sliding euro is U.S. manufacturers next big worry"
2010-06-10,1.21217,1,91.315,1.1417,0.68645,1216.079,0.85013,1.4713,7.8905,1.02965,"Analysis - Euro rescue plan averts disaster but fears persist"
2010-06-11,1.21095,NA,91.635,1.14925,0.68965,1226.081,0.85016,1.45485,7.90885,1.0322,NA
2010-06-14,1.22183,2,91.57,1.14185,0.6944,1220.628,0.85839,1.47425,7.8792,1.0336,"Analysis - Emerging markets say fear not Greek restructuring<br>Eurozone economic government? Nein danke!"
2010-06-15,1.23312,NA,91.45,1.133,0.69865,1233.537,0.86543,1.48005,7.7531,1.02525,NA
2010-06-16,1.2309,NA,91.43,1.13095,0.6976,1228.719,0.86407,1.47285,7.7818,1.0241,NA
2010-06-17,1.23871,NA,90.995,1.11175,0.7043,1244.387,0.86847,1.4824,7.7179,1.028,NA
2010-06-18,1.23882,1,90.7,1.10835,0.7065,1256.227,0.87022,1.48195,7.72305,1.0215,"Analysis - FX options flag fading anxiety, higher risk appetite"
2010-06-21,1.23095,NA,91.1,1.11215,0.70795,1233.096,0.87627,1.47545,7.7466,1.0241,NA
2010-06-22,1.22694,1,90.56,1.1072,0.7037,1239.479,0.87124,1.48115,7.7918,1.0294,"Analysis - China FX move only a minor aid to G20 rebalancing"
2010-06-23,1.23084,2,89.8,1.10505,0.71305,1236.872,0.87379,1.49555,7.7633,1.03955,"Greater yuan volatility a boon for China<br>Analysis - Mexico stands to gain from stronger yuan"
2010-06-24,1.23321,NA,89.6,1.1028,0.70845,1242.967,0.86648,1.49335,7.7816,1.04275,NA
2010-06-25,1.23671,1,89.235,1.09235,0.7132,1255.072,0.86721,1.5056,7.7203,1.0348,"Analysis - Yuan move to aid some Canadian fertilizer, forest firms"
2010-06-28,1.22741,NA,89.355,1.0866,0.708,1238.448,0.87213,1.5103,7.7397,1.0355,NA
2010-06-29,1.21858,1,88.59,1.08185,0.6918,1239.938,0.84875,1.5066,7.7978,1.05575,"Has China set the yuan's tone for rest of 2010?"
2010-06-30,1.22351,1,88.43,1.07715,0.6842,1241.794,0.8406,1.49425,7.7741,1.06375,"Analysis - Greece, Brady-style haircuts and ""Barroso bonds"""
2010-07-01,1.25252,1,87.58,1.059,0.6903,1198.5,0.84299,1.51735,7.6646,1.05945,"Analysis - Swiss franc gains put Hungarian recovery at risk"
2010-07-02,1.25624,1,87.735,1.0625,0.68805,1210.618,0.84248,1.51925,7.61815,1.06215,"Analysis - Yuan may fall as volatility picks up"
2010-07-05,1.25365,1,87.76,1.06435,0.68805,1207.66,0.83958,1.51335,7.684,1.063,"Analysis - China makes haste slowly globalising the yuan"
2010-07-06,1.26218,NA,87.515,1.0589,0.6937,1192.198,0.85246,1.51465,7.5866,1.0542,NA
2010-07-07,1.26365,1,87.69,1.0516,0.70305,1202.096,0.86415,1.5188,7.56715,1.04645,"Analysis - Diplomacy dictates no label for China on currency"
2010-07-08,1.26963,3,88.34,1.0492,0.70925,1197.446,0.87726,1.51635,7.5144,1.04195,"U.S. should keep options open on China yuan - lawmaker<br>World foreign currency reserves hit <U+00A2>G5.34 trillion - U.S.<br>U.S. gives China pass on currency"
2010-07-09,1.26376,2,88.61,1.0575,0.7109,1211.25,0.87771,1.50625,7.485,1.03355,"Week ahead - More euro gains seen<br>U.S. unions urge Congress to pass China currency bill"
2010-07-12,1.25952,1,88.605,1.06025,0.7115,1197.126,0.87582,1.50315,7.4925,1.037,"Analysis - Southern Europe readies for more pain, then gain"
2010-07-13,1.27233,NA,88.725,1.0546,0.71945,1211.796,0.88309,1.5175,7.4,1.02995,NA
2010-07-14,1.27415,NA,88.38,1.05245,0.72395,1207.744,0.88486,1.5266,7.3587,1.03245,NA
2010-07-15,1.29483,2,87.375,1.04095,0.72945,1207.813,0.88428,1.5458,7.2611,1.03805,"Analysis - Chances of China easing grow after soft June data<br>BOJ sees fastest economic growth in decade in 2010/11"
2010-07-16,1.29283,3,86.56,1.0503,0.71035,1192.478,0.87008,1.53,7.3231,1.05775,"Week ahead - Bank stress tests to keep investors cautious<br>Weak euro to hit IBM sales, profit seen solid<br>Analysis - U.S. growth fears turn tide against greenback"
2010-07-19,1.29391,2,86.69,1.0549,0.7057,1182.464,0.86831,1.5228,7.36955,1.0548,"Analysis - Strong franc to take toll on Swiss earnings<br>Analysis - Shift to U.S. dollar shorts not a sell signal"
2010-07-20,1.28777,2,87.5,1.05255,0.71685,1191.543,0.88378,1.52625,7.36035,1.0433,"Instant view - Bank of Canada raises rates, sees slower recover<br>Bank of Canada raises rates and sees recovery slowing"
2010-07-21,1.27525,2,87.04,1.0512,0.7122,1184.623,0.87799,1.5162,7.4088,1.04875,"China yuan a subsidy, needs to rise, Bernanke says<br>Analysis - Rough road ahead for forint as Hungary spurns IMF"
2010-07-22,1.2892,1,86.94,1.0428,0.7244,1194.441,0.89321,1.5257,7.31055,1.03705,"Analysis - Rising euro zone money rates set to support euro"
2010-07-23,1.29075,3,87.45,1.0545,0.72695,1188.531,0.89658,1.5423,7.2991,1.0353,"Analysis - Peru's currency to rise despite government measures<br>Week ahead - Stressed euro likely to fall<br>Analysis - New safe-haven currencies shine amid debt fears"
2010-07-26,1.29926,1,86.875,1.04845,0.7336,1183.06,0.90243,1.54885,7.2879,1.0322,"Q+A -What's next for the HK yuan market after the new agreement?"
2010-07-27,1.2995,1,87.895,1.06045,0.73305,1161.151,0.90214,1.55915,7.2961,1.0352,"Analysis: Euro rally may be entering last lap"
2010-07-28,1.29924,2,87.46,1.05655,0.7272,1162.979,0.89239,1.55975,7.2943,1.0387,"Analysis - Euro rally may be entering last lap<br>IMF split in China yuan exchange rate debate"
2010-07-29,1.3077,2,86.775,1.04085,0.72365,1167.982,0.90033,1.5611,7.2142,1.03685,"China eyes gradual fiscal exit, no rate rise - IMF<br>Analysis - Kenya markets welcome rate cut, await referendum"
2010-07-30,1.30484,2,86.455,1.04095,0.72565,1180.457,0.90442,1.56845,7.20585,1.02955,"Analysis - Hong Kong's yuan bond market dreams face hurdles<br>Analysis - FX intervention may be a losing game"
2010-08-02,1.3179,NA,86.49,1.03885,0.7326,1182.214,0.91361,1.58855,7.0943,1.0228,NA
2010-08-03,1.32268,1,85.78,1.039,0.734,1185.801,0.91261,1.5951,7.0795,1.02325,"Analysis - Fiscal hurdles risk tripping peripheral euro recovery"
2010-08-04,1.31585,1,86.26,1.05295,0.73453,1194.511,0.91646,1.58825,7.14135,1.018,"Analysis - Cross yen rallies may not last with inflation low"
2010-08-05,1.31879,3,85.815,1.04615,0.7306,1194.564,0.91552,1.5895,7.1211,1.01665,"Reuters poll - Euro and Yen seen more volatile this month<br>Reuters poll - Euro rally to run out of steam as austerity bites<br>Reuters poll-Sterling to fall v dollar more slowly than thought"
2010-08-06,1.32753,1,85.495,1.0389,0.73309,1204.745,0.91884,1.59415,7.0797,1.02715,"Analysis - Low returns for longer?"
2010-08-09,1.32196,1,85.92,1.0492,0.72865,1200.97,0.91641,1.5892,7.1083,1.02695,"Analysis - Whatever happened to the euro zone crisis?"
2010-08-10,1.31753,1,85.435,1.0484,0.72385,1203.659,0.91343,1.5851,7.1596,1.0311,"Yen's rise too rapid - ex-BOJ official"
2010-08-11,1.28605,1,85.315,1.06,0.71445,1197.506,0.89694,1.5657,7.36575,1.04625,"Europe doesn't want Japanese fx intervention - source"
2010-08-12,1.28254,NA,85.9,1.0498,0.70851,1213.363,0.89613,1.55765,7.3962,1.0423,NA
2010-08-13,1.27495,2,86.18,1.0508,0.70555,1215.055,0.89222,1.5592,7.44575,1.0416,"Analysis - Yen's rise adds to strains on Japanese smelters<br>Refuge in cash harbour as QE2 looms"
2010-08-16,1.28243,1,85.335,1.0393,0.707,1224.72,0.898,1.56625,7.3705,1.0433,"Reuters poll - Investors cut long bets on yuan, Singapore dollar"
2010-08-17,1.28831,NA,85.52,1.0433,0.71195,1224.387,0.90511,1.5585,7.3171,1.0319,NA
2010-08-18,1.28511,1,85.45,1.04235,0.71435,1228.883,0.89813,1.55935,7.3402,1.02945,"Analysis - Latam seen stepping up forex intervention"
2010-08-19,1.28205,2,85.38,1.03195,0.70695,1231.587,0.89253,1.56005,7.3716,1.0402,"Analysis - Barriers against intervention rise with yen<br>Euro zone debt problems to persist - Reuters poll"
2010-08-20,1.27075,3,85.605,1.03385,0.7065,1227.548,0.89215,1.55335,7.41185,1.0473,"Resilience in the euro zone seen in week ahead<br>Week ahead - Dollar set to extend gains<br>Five world markets themes in the coming week"
2010-08-23,1.26557,1,85.15,1.04065,0.70648,1225.508,0.89121,1.55125,7.4009,1.05205,"Analysis - Dollar becomes funding currency as yields tumble"
2010-08-24,1.26249,1,83.89,1.0326,0.70225,1230.004,0.88161,1.53935,7.4862,1.06135,"Japan sharpens rhetoric, but yen hits 15-year high"
2010-08-25,1.26571,2,84.565,1.03045,0.6992,1239.52,0.88392,1.54585,7.4444,1.0595,"Japan keeps intervention option open to curb yen<br>Analysis - Brazil cenbank strains to communicate with markets"
2010-08-26,1.27127,3,84.44,1.02395,0.70265,1237.03,0.88618,1.55265,7.41155,1.05775,"Japan's Ozawa shakes politics with bid to be PM<br>Japan Democrat panel wants BOJ to go step further<br>Renaissance gives gold and metals a wide berth"
2010-08-27,1.27595,5,85.215,1.0278,0.7105,1237.571,0.89888,1.55265,7.33265,1.05075,"Japan's Ozawa makes final gamble in bid for PM<br>Yen rise to push more Japan output overseas-survey<br>Analysis - U.S. bond vigilantes in no mood to gun down deficit<br>BOJ mulls emergency meeting early next week - source<br>Factbox - Japanese policymakers' remarks on yen, BOJ"
2010-08-30,1.26588,5,84.61,1.02595,0.7067,1236.374,0.89169,1.54595,7.4047,1.05975,"BOJ Shirakawa: need to check drawbacks on rate cut<br>Key quotes from BOJ Shirakawa's news conference<br>Instant view - BOJ's Shirakawa won't rule out any policy option<br>Factbox - Japan outlines economic steps amid yen worries<br>Bank of Japan eases policy as government hints at intervention"
2010-08-31,1.26782,3,84.185,1.015,0.6989,1247.075,0.89051,1.53465,7.3816,1.0656,"JAL to slash routes, aircraft in turnaround bid<br>Japan factory output levels off on export slowdown<br>Analysis - Franc surge ups pressure on Hungary to return to IMF"
2010-09-01,1.28062,1,84.44,1.01575,0.71195,1243.709,0.91161,1.54525,7.2875,1.0497,"Global FX trade jumps to $4 trillion a day -BIS"
2010-09-02,1.28224,1,84.27,1.01255,0.7145,1250.582,0.91091,1.54,7.24105,1.05235,"Yen to gradually weaken over next 12 months"
2010-09-03,1.28945,1,84.25,1.01605,0.7207,1246.147,0.91662,1.54495,7.2287,1.03855,"Analysis - German rebound may help euro zone peers after all"
2010-09-06,1.28742,1,84.195,1.0121,0.72295,1249.454,0.91743,1.5393,7.2187,1.0352,"Analysis - More Swiss franc gains vs euro may push SNB to act"
2010-09-07,1.26811,1,83.83,1.0112,0.71945,1255.116,0.91054,1.5357,7.3357,1.0478,"Analysis - Egypt pound may struggle to rebound from lows"
2010-09-08,1.27184,1,83.87,1.0113,0.72243,1254.521,0.918,1.54695,7.2789,1.03735,"Analysis - Transaction taxes, liquidity and patience"
2010-09-09,1.26933,NA,83.775,1.0149,0.72455,1243.303,0.92291,1.5428,7.2788,1.03365,NA
2010-09-10,1.26801,1,84.155,1.0196,0.72815,1245.764,0.92665,1.5356,7.2569,1.0367,"Brazil may be outgunned in fight to weaken currency"
2010-09-13,1.28812,1,83.7,1.0073,0.73405,1245.074,0.93586,1.5428,7.1309,1.02715,"Euro tests $1.28 as China, Basel, lift risk mood"
2010-09-14,1.2996,1,83.025,0.9961,0.73415,1267.667,0.93956,1.55385,7.0731,1.02745,"Analysis-Economic strength, political timetable behind yuan rise"
2010-09-15,1.30094,1,85.735,1.00315,0.7311,1267.545,0.93807,1.56225,7.0882,1.02615,"Top European business group opposes yen intervention"
2010-09-16,1.30763,2,85.78,1.0157,0.72395,1274.683,0.93673,1.5626,7.0424,1.02645,"Analysis - Yield search fans cyclical risks for FX reserves<br>Analysis - Euro weakness may return despite recent bounce"
2010-09-17,1.30474,3,85.84,1.00965,0.7251,1273.733,0.93598,1.5626,7.0693,1.0327,"Analysis - Japan intervention, Fed QE positive for cross/yen<br>Q+A-What is Japan capacity for FX intervention?<br>Analysis - Japan FX action heralds new hot EM money battle"
2010-09-20,1.30601,2,85.695,1.0048,0.73025,1278.033,0.94724,1.55445,7.0003,1.02815,"China has not done enough on yuan - Obama<br>In China's interest to reform currency - U.S. diplomat"
2010-09-21,1.32614,1,85.08,0.99625,0.73495,1286.555,0.95511,1.56204,6.871,1.0267,"China hits back at U.S. rhetoric on yuan"
2010-09-22,1.34039,1,84.49,0.9861,0.7384,1290.768,0.95671,1.5663,6.8478,1.03055,"New Zealand debt chief: Kiwi dollar has room to appreciate"
2010-09-23,1.33123,3,84.375,0.9855,0.72895,1291.899,0.94891,1.5682,6.9091,1.0343,"Czech c.bank keeps rates flat after budget tightening<br>Q+A - What is causing tension between U.S. and China?<br>Obama asks Wen for more action on yuan"
2010-09-24,1.34884,3,84.21,0.9835,0.73385,1295.951,0.95956,1.58135,6.8014,1.02385,"Analysis - Japan fx action won't stop China diversification<br>Cash flood reshapes investment universe<br>U.S. House panel cranks up pressure on China currency"
2010-09-27,1.34519,NA,84.28,0.9854,0.73405,1293.773,0.96077,1.58265,6.85,1.02905,NA
2010-09-28,1.35816,1,83.87,0.9758,0.73925,1308.554,0.96753,1.58,6.7605,1.02965,"U.S. lawmakers eyes late-year Senate vote on China yuan"
2010-09-29,1.36255,1,83.695,0.9769,0.7375,1309.29,0.96959,1.57835,6.7171,1.03225,"Analysis - Euro back in favour as focus turns to Fed"
2010-09-30,1.36333,1,83.51,0.98245,0.73415,1307.89,0.967,1.57155,6.7368,1.02915,"Euro wraps up best quarter vs dollar in 8 years"
2010-10-01,1.37887,1,83.215,0.9736,0.74423,1318.475,0.9728,1.5817,6.7084,1.0194,"Week Ahead - Fed outlook has dollar facing uphill climb"
2010-10-04,1.36847,1,83.35,0.9714,0.7416,1314.738,0.96818,1.58285,6.7629,1.02365,"Analysis - Sarkozy gambles on China in G20 forex drive"
2010-10-05,1.38373,3,83.21,0.9662,0.7491,1340.239,0.97168,1.5889,6.69995,1.01575,"U.S. dollar slides as Bank of Japan spurs risk-taking<br>Currency tensions flare as Brazil, Japan take action<br>IMF chief warns against currency as policy weapon: report"
2010-10-06,1.39287,4,82.92,0.96155,0.75225,1348.378,0.97736,1.5891,6.7123,1.011,"IMF warns against currency war<br>Dollar drops to 15-year low vs yen; euro at 8-month high<br>Bank of Canada says C$ volatility a concern<br>IMF chief warns against currency as policy weapon - report"
2010-10-07,1.39253,3,82.41,0.9661,0.7499,1332.923,0.9824,1.58765,6.6529,1.01715,"World Bank and IMF at odds over hot money flows<br>IMF, World Bank call for cooler heads on currencies<br>Analysis - Investors caught in currency war crossfire"
2010-10-08,1.39353,4,81.9,0.9627,0.7552,1345.06,0.9858,1.59615,6.6441,1.0105,"Japan stands firm on FX as China lets yuan rise<br>G7 must avert currency war: Japan's vice finance minister<br>Five world markets themes next week<br>Emerging market rush turning into secular move"
2010-10-11,1.38747,1,82.06,0.9646,0.75165,1353.488,0.9838,1.5881,6.6737,1.01355,"Asian powers guard against inflows after IMF"
2010-10-12,1.39244,1,81.71,0.9567,0.75505,1349.787,0.98616,1.58085,6.6487,1.0098,"Analysis - Risk rises in Asia that FX controls will spread"
2010-10-13,1.39593,2,81.8,0.9583,0.7604,1371.736,0.99048,1.58965,6.6238,1.00325,"Dollar falls on Fed view; Aussie hits high since '83<br>Analysis - Canadian dollar rally against US$ could stall soon"
2010-10-14,1.40825,2,81.475,0.95285,0.75887,1380.501,0.99406,1.60095,6.5473,1.00395,"Dollar pummelled after Singapore widens FX band<br>Analysis - Aussie dollar options point to more gains"
2010-10-15,1.39742,3,81.4,0.95865,0.7561,1367.881,0.98916,1.599,6.618,1.01,"Analysis - Retaliation in reserve as China faces yuan tensions<br>FX Outlook - Dollar vulnerable but selling may slow<br>U.S. backs off in currency dispute with China"
2010-10-18,1.39331,2,81.26,0.95945,0.7555,1367.936,0.98877,1.5875,6.6671,1.01715,"Analysis - Sterling underpinned versus dollar but may lag euro<br>Chile peso rise worrying"
2010-10-19,1.3724,1,81.575,0.9717,0.74395,1331.387,0.96854,1.5704,6.8044,1.0334,"Chile peso weakens as government hints at measures"
2010-10-20,1.39613,1,81.08,0.9617,0.75485,1345.777,0.98701,1.58485,6.6376,1.02085,"China exporters can weather 6 percent yuan rise"
2010-10-21,1.39156,1,81.32,0.96775,0.74555,1325.048,0.97716,1.5703,6.6766,1.02665,"Robust Turkish recovery to slow lira depreciation"
2010-10-22,1.39522,2,81.37,0.97705,0.7466,1327.902,0.98127,1.56835,6.6155,1.02575,"Analysis - Brazil forex tax claims new victim: private equity<br>FX Outlook - Euro seen faltering vs dollar as uptrend stalls"
2010-10-25,1.39624,1,80.807,0.97091,0.75209,1339.4,0.99046,1.57212,6.58138,1.01984,"Currency managers seek to boost fx hedging gains"
2010-10-26,1.38575,2,81.427,0.98411,0.74898,1339.923,0.98525,1.58441,6.72908,1.02373,"Analysis - Brazil's currency battle endangers forex reform<br>China minister says dollar printing ""out of control"""
2010-10-27,1.37682,1,81.752,0.99026,0.74513,1324.836,0.97182,1.5767,6.7747,1.02797,"Analysis - QE2 not all bad for dollar if it stokes growth"
2010-10-28,1.39293,1,81.017,0.98327,0.75372,1343.591,0.97878,1.59451,6.73378,1.02088,"ECB officials warn of ""currency war"" risks to growth"
2010-10-29,1.39451,2,80.372,0.98222,0.76622,1358.798,0.9799,1.60355,6.66643,1.01902,"Bank of Italy official sees currency war risk<br>U.S. dollar falls vs yen; FX options flag QE worry"
2010-11-01,1.38912,3,80.499,0.99149,0.76707,1353.381,0.98697,1.60338,6.68788,1.01506,"U.S. says won't solve China currency issue at Seoul G20<br>Rouble hits 2010 low on foreign currency demand<br>Analysis - European exporters to hurt if euro breaches $1.50"
2010-11-02,1.40321,1,80.617,0.97946,0.77131,1357.016,0.99946,1.60397,6.63328,1.00803,"Analysis - Euro to stay strong versus dollar as policies diverge"
2010-11-03,1.41374,2,81.06,0.97058,0.77994,1347.981,1.00607,1.60795,6.58127,1.00508,"Euro volatility seen rising further in November<br>Strong currency weakens Brazil's sugar might - Cosan"
2010-11-04,1.42052,1,80.736,0.95829,0.79435,1392.006,1.01478,1.6267,6.51912,1.00211,"Trichet sees no deliberate dollar weakening by U.S."
2010-11-05,1.40296,2,81.246,0.96126,0.79486,1393.074,1.01459,1.61783,6.60968,1.00007,"Analysis - Eurozone governments play risky political games<br>Dollar rises after jobs report; outlook uncertain"
2010-11-08,1.39173,2,81.162,0.96593,0.78774,1409.01,1.01349,1.61346,6.69368,1.00345,"Q+A - Could world markets warm to a gold standard?<br>Countries not pursuing weak FX policy -Trichet"
2010-11-09,1.37705,1,81.683,0.96817,0.77753,1392.422,1.00346,1.59836,6.75307,1.00789,"Analysis - Emerging currency global bonds: a shelter from FX curbs"
2010-11-10,1.37814,1,82.271,0.97051,0.78265,1403.435,1.00529,1.61196,6.73087,1.00084,"Trichet - Strong dollar in international community's interest"
2010-11-11,1.36656,1,82.474,0.97494,0.78014,1408.038,0.99771,1.61221,6.83247,1.00303,"Analysis - Investors assume worst in murky euro reform debate"
2010-11-12,1.36895,1,82.513,0.98073,0.77323,1368.074,0.98459,1.61122,6.84584,1.01216,"Colombia wants to avoid invasive FX measures"
2010-11-15,1.35858,1,83.067,0.98442,0.77271,1360.17,0.98512,1.60511,6.87968,1.00969,"Analysis - Swedish, Norway crowns to gain but gradually"
2010-11-16,1.34885,NA,83.281,0.99566,0.76767,1339.16,0.97648,1.58832,6.95258,1.02218,NA
2010-11-17,1.35285,1,83.174,0.99112,0.77022,1335.692,0.97962,1.5906,6.92368,1.02438,"Lockhart says Fed not trying to weaken U.S. dollar"
2010-11-18,1.36427,1,83.512,0.99565,0.77806,1352.731,0.98978,1.60399,6.86398,1.01888,"Panel urges renewed U.S. pressure on China on currency"
2010-11-19,1.36716,2,83.524,0.99217,0.779,1352.872,0.98638,1.59767,6.85017,1.01671,"Analysis - Sterling ready to extend recovery but ride rocky<br>Euro likely to hold gains versus dollar in busy week"
2010-11-22,1.36254,1,83.327,0.98928,0.77176,1366.275,0.98855,1.59541,6.87918,1.01857,"Analysis - Gulf currency pegs seen surviving weak dollar for now"
2010-11-23,1.33671,NA,83.154,0.99732,0.75855,1375.792,0.97214,1.57739,6.97417,1.02453,NA
2010-11-24,1.33337,NA,83.528,0.99594,0.75961,1372.775,0.98155,1.5771,6.94477,1.00984,NA
2010-11-25,1.3358,3,83.589,1.00025,0.75978,1374.249,0.98068,1.57536,6.94317,1.00861,"Analysis - Currency wars have silver lining for Latin America<br>Euro stays soft near lows as debt crisis festers<br>Analysis - Commodity currencies look shaky before year-end"
2010-11-26,1.32395,4,84.049,1.00276,0.74962,1361.943,0.96435,1.55907,6.99198,1.02084,"Euro falls broadly, burdened by periphery nerves<br>Analysis - Markets far from expecting euro zone break-up<br>The week ahead - euro to fall on contagion fear<br>Growing Korean tension, euro woes hit won and ringgit"
2010-11-29,1.31248,1,84.245,0.99986,0.7456,1366.001,0.96301,1.55706,6.98087,1.01779,"Euro drops to 2-month low versus dollar"
2010-11-30,1.2982,1,83.678,1.00335,0.74235,1385.237,0.9586,1.55606,7.02308,1.02617,"Euro pummeled in Nov with more losses expected"
2010-12-01,1.31379,1,84.182,1.0022,0.74869,1387.592,0.96824,1.56208,6.96547,1.01689,"Euro snaps three-day drop"
2010-12-02,1.32086,1,83.809,0.99265,0.75523,1385.011,0.97691,1.55989,6.90837,1.00251,"Analysis - Cash flows from Russia cloud rouble's horizon"
2010-12-03,1.34135,1,82.522,0.97336,0.76569,1413.412,0.9927,1.57683,6.78667,1.00366,"The week ahead - Euro rallies versus dollar"
2010-12-06,1.33072,NA,82.648,0.98153,0.76144,1423.506,0.98982,1.57144,6.84248,1.00551,NA
2010-12-07,1.32604,1,83.48,0.98753,0.7569,1401.673,0.98279,1.57569,6.89528,1.01229,"Analysis - U.S. funds boost holdings in shaky European debt"
2010-12-08,1.32609,1,84.029,0.98597,0.74724,1381.475,0.97947,1.58025,6.86977,1.0112,"Rising Treasury yields lift U.S. dollar"
2010-12-09,1.32378,1,83.757,0.98339,0.74846,1386.496,0.98355,1.57688,6.89117,1.01051,"Analysis - China tells world yuan is for trade, not investment"
2010-12-10,1.32218,1,83.939,0.98045,0.74631,1385.44,0.9852,1.58002,6.90347,1.00891,"The week ahead - Euro to drop as EU leaders meet"
2010-12-13,1.339,1,83.378,0.96759,0.75108,1393.795,0.99609,1.58611,6.82728,1.00727,"Danish central bank chief comfortable with high reserves"
2010-12-14,1.33774,1,83.652,0.95947,0.75153,1395.694,0.99889,1.57734,6.79998,1.00602,"Analysis - Plan to weaken South African rand is no answer"
2010-12-15,1.32125,1,84.231,0.96799,0.73946,1380.392,0.98684,1.55425,6.84307,1.00478,"Rouble at 2-month peak versus eruo basket as tax duties start"
2010-12-16,1.32431,2,83.908,0.96429,0.74014,1369.277,0.99006,1.56306,6.80117,1.00585,"Rouble at 2-month peak versus euro basket as tax duties start<br>Dollar reverses losses"
2010-12-17,1.31864,1,83.966,0.96833,0.73511,1374.877,0.98784,1.55324,6.83958,1.01382,"The week ahead - Markets still euro-focused; further losses seen"
2010-12-20,1.31306,2,83.766,0.96473,0.74201,1385.032,0.9933,1.55117,6.84728,1.01663,"Euro breaks support vs dollar, more losses seen<br>Estonia to adopt crisis-hit euro but others wary"
2010-12-21,1.31002,1,83.737,0.95791,0.744,1385.067,0.99778,1.54688,6.83857,1.017,"China frets about EU debt woes"
2010-12-22,1.30987,1,83.563,0.95193,0.74013,1385.05,0.99887,1.53835,6.85737,1.01311,"UK-CHILE-PESO-INTERVENTION"
2010-12-23,1.31123,2,82.908,0.95865,0.74704,1379.303,1.0041,1.54262,6.83897,1.00911,"Analysis - Strong copper puts off Chile peso intervention<br>Most LatAm currencies soften on upbeat U.S. data"
2010-12-24,1.31188,NA,82.861,0.96174,0.7489,1383.843,1.00157,1.54375,6.83984,1.00789,NA
2010-12-27,1.31635,1,82.791,0.95969,0.74999,1383.189,1.00437,1.54184,6.80878,1.0066,"As China raises rates, don't forget the yuan"
2010-12-28,1.3114,1,82.379,0.95183,0.75512,1405.344,1.00989,1.53653,6.86957,1.00086,"Analysis - Politics vs economics are big euro test"
